Name{string},Alternate Spelling{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},Point_Features{point},Reference{string},Comments{string},_the_sort{serial}
"Tolima, Nevado del",,"Colombia","Stratovolcano","4.67","-75.33","5200","POINT(-75.33 4.67)",,,"1309"
"Tolimán",,"Guatemala","Stratovolcano","14.61","-91.19","3158","POINT(-91.19 14.61)",,,"1310"
"Tolmachev Dol",,"Kamchatka","Cinder cones","52.63","157.58","1021","POINT(157.58 52.63)",,,"1311"
"Toluca, Nevado de",,"México","Stratovolcano","19.11","-99.76","4680","POINT(-99.76 19.11)",,,"1312"
"Tombel Graben",,"Africa-W","Cinder cones","4.75","9.67","500","POINT(9.67 4.75)",,,"1313"
"Tondano Caldera",,"Sulawesi-Indonesia","Caldera","1.23","124.83","1202","POINT(124.83 1.23)",,,"1314"
"Toney Mountain",,"Antarctica","Shield volcano","-75.8","-115.83","3595","POINT(-115.83 -75.8)",,,"1315"
"Tongariro",,"New Zealand","Stratovolcanoes","-39.13","175.64","1978","POINT(175.64 -39.13)",,,"1316"
"Tongkoko",,"Sulawesi-Indonesia","Stratovolcano","1.52","125.2","1149","POINT(125.2 1.52)",,,"1317"
"Tore",,"Bougainville-SW Pacific","Lava cone","-5.83","154.93","2200","POINT(154.93 -5.83)",,,"1318"
"Torfajökull",,"Iceland-S","Stratovolcano","63.92","-19.17","1259","POINT(-19.17 63.92)",,,"1319"
"Tori-shima",,"Izu Is-Japan","Stratovolcano","30.48","140.31","394","POINT(140.31 30.48)",,,"1320"
"Toroeng Prong",,"SE Asia","Cinder cone","14.93","108","800","POINT(108 14.93)",,,"1321"
"Tortuga, Isla",,"México","Shield volcano","27.43","-111.98","210","POINT(-111.98 27.43)",,,"1322"
"Tosa Sucha",,"Ethiopia","Cinder cones","5.93","37.57","1650","POINT(37.57 5.93)",,,"1323"
"To-shima",,"Izu Is-Japan","Stratovolcano","34.52","139.28","508","POINT(139.28 34.52)",,,"1324"
"Toussidé, Tarso",,"Africa-N","Stratovolcano","21.03","16.45","3265","POINT(16.45 21.03)",,,"1325"
"Towada",,"Honshu-Japan","Caldera","40.47","140.92","1159","POINT(140.92 40.47)",,,"1326"
