Name{string},Alternate Spelling{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},Point_Features{point},Reference{string},Comments{string},_the_sort{serial}
"Abu",,"Honshu-Japan","Shield volcanoes","34.5","131.6","641","POINT(131.6 34.5)",,,"1"
"Acamarachi",,"Chile-N","Stratovolcano","-23.3","-67.62","6046","POINT(-67.62 -23.3)",,,"2"
"Acatenango",,"Guatemala","Stratovolcano","14.5","-90.88","3976","POINT(-90.88 14.5)",,,"3"
"Acigöl-Nevsehir",,"Turkey","Caldera","38.57","34.52","1689","POINT(34.52 38.57)",,,"4"
"Adams",,"US-Washington","Stratovolcano","46.21","-121.49","3742","POINT(-121.49 46.21)",,,"5"
"Adams Seamount",,"Pacific-C","Submarine volcano","-25.37","-129.27","-39","POINT(-129.27 -25.37)",,,"6"
"Adatara",,"Honshu-Japan","Stratovolcanoes","37.64","140.29","1718","POINT(140.29 37.64)",,,"7"
"Adwa",,"Ethiopia","Stratovolcano","10.07","40.84","1733","POINT(40.84 10.07)",,,"8"
"Afderà",,"Ethiopia","Stratovolcano","13.08","40.85","1295","POINT(40.85 13.08)",,,"9"
"Agrigan",,"Mariana Is-C Pacific","Stratovolcano","18.77","145.67","965","POINT(145.67 18.77)",,,"10"
"Agua",,"Guatemala","Stratovolcano","14.47","-90.74","3760","POINT(-90.74 14.47)",,,"11"
"Agua de Pau",,"Azores","Stratovolcano","37.77","-25.47","947","POINT(-25.47 37.77)",,,"12"
"Aguilera",,"Chile-S","Stratovolcano","-50.33","-73.75","2546","POINT(-73.75 -50.33)",,,"13"
"Agung",,"Lesser Sunda Is","Stratovolcano","-8.34","115.51","3142","POINT(115.51 -8.34)",,,"14"
"Ahyi",,"Mariana Is-C Pacific","Submarine volcano","20.42","145.03","-137","POINT(145.03 20.42)",,,"15"
"Akademia Nauk",,"Kamchatka","Stratovolcanoes","53.98","159.45","1180","POINT(159.45 53.98)",,,"16"
"Akagi",,"Honshu-Japan","Stratovolcano","36.56","139.2","1828","POINT(139.2 36.56)",,,"17"
"Akan",,"Hokkaido-Japan","Caldera","43.38","144.01","1499","POINT(144.01 43.38)",,,"18"
"Akhtang",,"Kamchatka","Shield volcano","55.43","158.65","1956","POINT(158.65 55.43)",,,"19"
"Akita-Komaga-take",,"Honshu-Japan","Stratovolcanoes","39.76","140.8","1637","POINT(140.8 39.76)",,,"20"
"Akita-Yake-yama",,"Honshu-Japan","Stratovolcano","39.96","140.76","1366","POINT(140.76 39.96)",,,"21"
"Akuseki-jima",,"Ryukyu Is","Stratovolcanoes","29.46","129.6","584","POINT(129.6 29.46)",,,"22"
"Akutan",,"Aleutian Is","Stratovolcano","54.13","-165.99","1303","POINT(-165.99 54.13)",,,"23"
"Alaid",,"Kuril Is","Stratovolcano","50.86","155.55","2339","POINT(155.55 50.86)",,,"24"
"Alamagan",,"Mariana Is-C Pacific","Stratovolcano","17.6","145.83","744","POINT(145.83 17.6)",,,"25"
"Alayta",,"Ethiopia","Shield volcano","12.88","40.57","1501","POINT(40.57 12.88)",,,"26"
"Alban Hills",,"Italy","Caldera","41.73","12.7","949","POINT(12.7 41.73)",,,"27"
"Alcedo",,"Galápagos","Shield volcano","-0.43","-91.12","1130","POINT(-91.12 -0.43)",,,"28"
"Ale Bagu",,"Ethiopia","Stratovolcano","13.52","40.63","1031","POINT(40.63 13.52)",,,"29"
"Alid",,"Ethiopia","Stratovolcano","14.88","39.92","904","POINT(39.92 14.88)",,,"30"
"Alligator Lake",,"Canada","Volcanic field","60.42","-135.42","2217","POINT(-135.42 60.42)",,,"31"
"Almolonga",,"Guatemala","Stratovolcano","14.82","-91.48","3197","POINT(-91.48 14.82)",,,"32"
"Alney-Chashakondzha",,"Kamchatka","Stratovolcano","56.7","159.65","2598","POINT(159.65 56.7)",,,"33"
"Alngey",,"Kamchatka","Stratovolcano","57.7","160.4","1853","POINT(160.4 57.7)",,,"34"
"Alu",,"Ethiopia","Fissure vents","13.82","40.55","429","POINT(40.55 13.82)",,,"35"
"Alutu",,"Ethiopia","Stratovolcano","7.77","38.78","2335","POINT(38.78 7.77)",,,"36"
"Amak",,"Aleutian Is","Stratovolcano","55.42","-163.15","488","POINT(-163.15 55.42)",,,"37"
"Amasing",,"Halmahera-Indonesia","Stratovolcanoes","-0.53","127.48","1030","POINT(127.48 -0.53)",,,"38"
"Ambalatungan Group",,"Luzon-Philippines","Compound volcano","17.32","121.1","2329","POINT(121.1 17.32)",,,"39"
"Ambang",,"Sulawesi-Indonesia","Complex volcano","0.75","124.42","1795","POINT(124.42 0.75)",,,"40"
"Ambitle",,"New Ireland-SW Pacific","Stratovolcano","-4.08","153.65","450","POINT(153.65 -4.08)",,,"41"
"Ambre-Bobaomby",,"Madagascar","Volcanic field","-12.6","49.15","1475","POINT(49.15 -12.6)",,,"42"
"Ambrym",,"Vanuatu-SW Pacific","Pyroclastic shield","-16.25","168.12","1334","POINT(168.12 -16.25)",,,"43"
"Amorong",,"Luzon-Philippines","Lava domes","15.83","120.81","376","POINT(120.81 15.83)",,,"44"
"Amsterdam Island",,"Indian O.-S","Stratovolcano","-37.83","77.52","881","POINT(77.52 -37.83)",,,"45"
"Amukta",,"Aleutian Is","Stratovolcano","52.5","-171.25","1066","POINT(-171.25 52.5)",,,"46"
"Anatahan",,"Mariana Is-C Pacific","Stratovolcano","16.35","145.67","790","POINT(145.67 16.35)",,,"47"
"Anaun",,"Kamchatka","Stratovolcano","56.32","158.83","1828","POINT(158.83 56.32)",,,"48"
"Andahua-Orcopampa",,"Perú","Cinder cones","-15.42","-72.33","4713","POINT(-72.33 -15.42)",,,"49"
"Andrus",,"Antarctica","Shield volcanoes","-75.8","-132.33","2978","POINT(-132.33 -75.8)",,,"50"
"Aneityum",,"Vanuatu-SW Pacific","Stratovolcanoes","-20.2","169.78","852","POINT(169.78 -20.2)",,,"51"
"Aniakchak",,"Alaska Peninsula","Caldera","56.88","-158.17","1341","POINT(-158.17 56.88)",,,"52"
"Ankaizina Field",,"Madagascar","Cinder cones","-14.3","48.67","2878","POINT(48.67 -14.3)",,,"53"
"Ankaratra Field",,"Madagascar","Cinder cones","-19.4","47.2","2644","POINT(47.2 -19.4)",,,"54"
"Antillanca Group",,"Chile-C","Stratovolcanoes","-40.77","-72.15","1990","POINT(-72.15 -40.77)",,,"55"
"Antipodes Island",,"Pacific-S","Pyroclastic cones","-49.68","178.77","402","POINT(178.77 -49.68)",,,"56"
"Antisana",,"Ecuador","Stratovolcano","-0.48","-78.14","5753","POINT(-78.14 -0.48)",,,"57"
"Antofagasta de la Sierra",,"Argentina","Scoria cones","-26.08","-67.5","4000","POINT(-67.5 -26.08)",,,"58"
"Antuco",,"Chile-C","Stratovolcano","-37.41","-71.35","2979","POINT(-71.35 -37.41)",,,"59"
"Aoba",,"Vanuatu-SW Pacific","Shield volcano","-15.4","167.83","1496","POINT(167.83 -15.4)",,,"60"
"Aoga-shima",,"Izu Is-Japan","Stratovolcano","32.45","139.76","423","POINT(139.76 32.45)",,,"61"
"Apagado",,"Chile-S","Pyroclastic cone","-41.88","-72.58","1210","POINT(-72.58 -41.88)",,,"62"
"Apaneca Range",,"El Salvador","Stratovolcanoes","13.89","-89.79","2036","POINT(-89.79 13.89)",,,"63"
"Apastepeque Field",,"El Salvador","Volcanic field","13.72","-88.77","700","POINT(-88.77 13.72)",,,"64"
"Apo",,"Mindanao-Philippines","Stratovolcano","6.99","125.27","2938","POINT(125.27 6.99)",,,"65"
"Apoyeque",,"Nicaragua","Pyroclastic shield","12.24","-86.34","518","POINT(-86.34 12.24)",,,"66"
"Aracar",,"Argentina","Stratovolcano","-24.25","-67.77","6082","POINT(-67.77 -24.25)",,,"67"
"Aragats",,"Armenia","Stratovolcano","40.53","44.2","4095","POINT(44.2 40.53)",,,"68"
"Aramuaca, Laguna",,"El Salvador","Maar","13.43","-88.11","181","POINT(-88.11 13.43)",,,"69"
"Ararat",,"Turkey","Stratovolcano","39.7","44.3","5165","POINT(44.3 39.7)",,,"70"
"Arayat",,"Luzon-Philippines","Stratovolcano","15.2","120.74","1026","POINT(120.74 15.2)",,,"71"
"Ardoukôba",,"Djibouti","Fissure vents","11.58","42.47","298","POINT(42.47 11.58)",,,"72"
"Arenal",,"Costa Rica","Stratovolcano","10.46","-84.7","1670","POINT(-84.7 10.46)",,,"73"
"Arenales",,"Chile-S","Stratovolcano","-47.2","-73.48","3437","POINT(-73.48 -47.2)",,,"74"
"Arhab, Harra of",,"Arabia-S","Volcanic field","15.63","44.08","3100","POINT(44.08 15.63)",,,"75"
"Arjuno-Welirang",,"Java","Stratovolcano","-7.73","112.58","3339","POINT(112.58 -7.73)",,,"76"
"Asacha",,"Kamchatka","Complex volcano","52.36","157.83","1910","POINT(157.83 52.36)",,,"77"
"Asama",,"Honshu-Japan","Complex volcano","36.4","138.53","2568","POINT(138.53 36.4)",,,"78"
"Asavyo",,"Ethiopia","Shield volcano","13.07","41.6","1200","POINT(41.6 13.07)",,,"79"
"Ascensión",,"Atlantic-C","Stratovolcano","-7.95","-14.37","858","POINT(-14.37 -7.95)",,,"80"
"Askja",,"Iceland-NE","Stratovolcano","65.03","-16.75","1516","POINT(-16.75 65.03)",,,"81"
"Aso",,"Kyushu-Japan","Caldera","32.88","131.11","1592","POINT(131.11 32.88)",,,"82"
"Assab Volc Field",,"Ethiopia","Volcanic field","12.95","42.43","987","POINT(42.43 12.95)",,,"83"
"Asuncion",,"Mariana Is-C Pacific","Stratovolcano","19.67","145.41","857","POINT(145.41 19.67)",,,"84"
"Atacazo",,"Ecuador","Stratovolcano","-0.35","-78.62","4463","POINT(-78.62 -0.35)",,,"85"
"Atakor Volc Field",,"Africa-N","Scoria cones","23.33","5.83","2918","POINT(5.83 23.33)",,,"86"
"Atitlán",,"Guatemala","Stratovolcano","14.58","-91.19","3535","POINT(-91.19 14.58)",,,"87"
"Atka",,"Aleutian Is","Stratovolcanoes","52.38","-174.15","1533","POINT(-174.15 52.38)",,,"88"
"Atlin Volc Field",,"Canada","Cinder cones","59.68","-133.32","1880","POINT(-133.32 59.68)",,,"89"
"Atlixcos, Los",,"México","Shield volcano","19.81","-96.53","800","POINT(-96.53 19.81)",,,"90"
"Atsonupuri",,"Kuril Is","Stratovolcano","44.81","147.14","1206","POINT(147.14 44.81)",,,"91"
"Atuel, Caldera del",,"Argentina","Caldera","-34.65","-70.05","5189","POINT(-70.05 -34.65)",,,"92"
"Auckland Field",,"New Zealand","Volcanic field","-36.9","174.87","260","POINT(174.87 -36.9)",,,"93"
"Augustine",,"Alaska-SW","Lava domes","59.36","-153.43","1252","POINT(-153.43 59.36)",,,"94"
"Auquihuato, Cerro",,"Perú","Cinder cone","-15.07","-73.18","4980","POINT(-73.18 -15.07)",,,"95"
"Avachinsky",,"Kamchatka","Stratovolcano","53.26","158.83","2741","POINT(158.83 53.26)",,,"96"
"Awu",,"Sangihe Is-Indonesia","Stratovolcano","3.67","125.5","1320","POINT(125.5 3.67)",,,"97"
"Axial Seamount",,"Pacific-NE","Submarine volcano","45.95","-130","-1410","POINT(-130 45.95)",,,"98"
"Ayelu",,"Ethiopia","Stratovolcano","10.08","40.7","2145","POINT(40.7 10.08)",,,"99"
"Azas Plateau",,"Russia-SE","Volcanic field","52.52","98.6","2765","POINT(98.6 52.52)",,,"100"
"Azufral",,"Colombia","Stratovolcano","1.08","-77.68","4070","POINT(-77.68 1.08)",,,"101"
"Azufre, Cerro del",,"Chile-N","Stratovolcano","-21.79","-68.24","5846","POINT(-68.24 -21.79)",,,"102"
"Azul, Cerro",,"Galápagos","Shield volcano","-0.92","-91.41","1640","POINT(-91.41 -0.92)",,,"103"
"Azul, Cerro",,"Chile-C","Stratovolcano","-35.65","-70.76","3788","POINT(-70.76 -35.65)",,,"104"
"Azul, Volcán",,"Nicaragua","Cinder cones","12.53","-83.87","201","POINT(-83.87 12.53)",,,"105"
"Azuma",,"Honshu-Japan","Stratovolcanoes","37.73","140.25","2035","POINT(140.25 37.73)",,,"106"
"Babuyan Claro",,"Luzon-N of","Stratovolcanoes","19.52","121.94","1080","POINT(121.94 19.52)",,,"107"
"Bachelor",,"US-Oregon","Stratovolcano","43.98","-121.69","2763","POINT(-121.69 43.98)",,,"108"
"Bagana",,"Bougainville-SW Pacific","Lava cone","-6.14","155.2","1750","POINT(155.2 -6.14)",,,"109"
"Bakening",,"Kamchatka","Stratovolcano","53.91","158.07","2278","POINT(158.07 53.91)",,,"110"
"Baker",,"US-Washington","Stratovolcanoes","48.78","-121.81","3285","POINT(-121.81 48.78)",,,"111"
"Bal Haf, Harra of",,"Arabia-S","Volcanic field","14.05","48.33","233","POINT(48.33 14.05)",,,"112"
"Balatukan",,"Mindanao-Philippines","Compound volcano","8.77","124.98","2450","POINT(124.98 8.77)",,,"113"
"Balbi",,"Bougainville-SW Pacific","Stratovolcano","-5.92","154.98","2715","POINT(154.98 -5.92)",,,"114"
"Bald Knoll",,"US-Utah","Cinder cones","37.33","-112.41","2135","POINT(-112.41 37.33)",,,"115"
"Baluan",,"Admiralty Is-SW Pacific","Stratovolcano","-2.57","147.28","254","POINT(147.28 -2.57)",,,"116"
"Baluran",,"Java","Stratovolcano","-7.85","114.37","1247","POINT(114.37 -7.85)",,,"117"
"Balut",,"Mindanao-Philippines","Stratovolcano","5.4","125.38","862","POINT(125.38 5.4)",,,"118"
"Bam",,"New Guinea-NE of","Stratovolcano","-3.61","144.82","685","POINT(144.82 -3.61)",,,"119"
"Bamus",,"New Britain-SW Pac","Stratovolcano","-5.2","151.23","2248","POINT(151.23 -5.2)",,,"120"
"Banahaw",,"Luzon-Philippines","Complex volcano","14.07","121.48","2158","POINT(121.48 14.07)",,,"121"
"Banda Api",,"Banda Sea","Caldera","-4.53","129.87","640","POINT(129.87 -4.53)",,,"122"
"Bandai",,"Honshu-Japan","Stratovolcano","37.6","140.08","1819","POINT(140.08 37.6)",,,"123"
"Banua Wuhu",,"Sangihe Is-Indonesia","Submarine volcano","3.14","125.49","-5","POINT(125.49 3.14)",,,"124"
"Baransky",,"Kuril Is","Stratovolcano","45.1","148.02","1132","POINT(148.02 45.1)",,,"125"
"Bárcena",,"México-Is","Cinder cones","19.3","-110.82","332","POINT(-110.82 19.3)",,,"126"
"Bárdarbunga",,"Iceland-NE","Stratovolcano","64.63","-17.53","2000","POINT(-17.53 64.63)",,,"127"
"Barkhatnaya Sopka",,"Kamchatka","Lava domes","52.82","158.27","870","POINT(158.27 52.82)",,,"128"
"Barren Island",,"Andaman Is-Indian O","Stratovolcano","12.28","93.86","354","POINT(93.86 12.28)",,,"129"
"Barrier, The",,"Africa-E","Shield volcano","2.32","36.57","1032","POINT(36.57 2.32)",,,"130"
"Barú",,"Panamá","Stratovolcano","8.81","-82.54","3474","POINT(-82.54 8.81)",,,"131"
"Barva",,"Costa Rica","Complex volcano","10.14","-84.1","2906","POINT(-84.1 10.14)",,,"132"
"Bas Dong Nai",,"SE Asia","Volcanic field","10.8","107.2","392","POINT(107.2 10.8)",,,"133"
"Batur",,"Lesser Sunda Is","Caldera","-8.24","115.38","1717","POINT(115.38 -8.24)",,,"134"
"Bayo, Cerro",,"Chile-N","Complex volcano","-25.42","-68.58","5401","POINT(-68.58 -25.42)",,,"135"
"Bayonnaise Rocks",,"Izu Is-Japan","Submarine volcano","31.88","139.92","11","POINT(139.92 31.88)",,,"136"
"Bayuda Volc Field",,"Africa-N","Cinder cones","18.33","32.75","670","POINT(32.75 18.33)",,,"137"
"Bazman",,"Iran","Stratovolcano","28.07","60","3490","POINT(60 28.07)",,,"138"
"Beerenberg","Jan Mayen","Atlantic-N-Jan Mayen","Stratovolcano","71.08","-8.17","2277","POINT(-8.17 71.08)","https://en.wikipedia.org/wiki/Beerenberg ",,"139"
"Behm Canal-Rudyerd Bay",,"Alaska-E","Cinder cones","55.32","-131.05","500","POINT(-131.05 55.32)",,,"140"
"Belenkaya",,"Kamchatka","Stratovolcano","51.75","157.27","892","POINT(157.27 51.75)",,,"141"
"Belirang-Beriti",,"Sumatra","Compound volcano","-2.82","102.18","1958","POINT(102.18 -2.82)",,,"142"
"Belknap",,"US-Oregon","Shield volcanoes","44.29","-121.84","2095","POINT(-121.84 44.29)",,,"143"
"Bely",,"Kamchatka","Shield volcanoes","57.88","160.53","2080","POINT(160.53 57.88)",,,"144"
"Berlin",,"Antarctica","Shield volcanoes","-76.05","-136","3478","POINT(-136 -76.05)",,,"145"
"Beru",,"Ethiopia","Volcanic field","8.95","39.75","1100","POINT(39.75 8.95)",,,"146"
"Berutarube",,"Kuril Is","Stratovolcano","44.46","146.94","1221","POINT(146.94 44.46)",,,"147"
"Besar",,"Sumatra","Stratovolcano ?","-4.43","103.67","1899","POINT(103.67 -4.43)",,,"148"
"Bezymianny",,"Kamchatka","Stratovolcano","55.98","160.59","2882","POINT(160.59 55.98)",,,"149"
"Bibinoi",,"Halmahera-Indonesia","Stratovolcanoes","-0.77","127.72","900","POINT(127.72 -0.77)",,,"150"
"Bilate River Field",,"Ethiopia","Maars","7.07","38.1","1700","POINT(38.1 7.07)",,,"151"
"Biliran",,"Philippines-C","Compound volcano","11.52","124.54","1301","POINT(124.54 11.52)",,,"152"
"Billy Mitchell",,"Bougainville-SW Pacific","Pyroclastic shield","-6.09","155.23","1544","POINT(155.23 -6.09)",,,"153"
"Birk, Harrat al",,"Arabia-W","Volcanic field","18.37","41.63","381","POINT(41.63 18.37)",,,"154"
"Bishoftu Volc Field",,"Ethiopia","Fissure vents","8.78","38.98","1850","POINT(38.98 8.78)",,,"155"
"Black Peak",,"Alaska Peninsula","Stratovolcano","56.55","-158.79","1032","POINT(-158.79 56.55)",,,"156"
"Black Rock Desert",,"US-Utah","Volcanic field","38.97","-112.5","1800","POINT(-112.5 38.97)",,,"157"
"Blancas, Lomas",,"Chile-C","Stratovolcano","-36.29","-71.01","2268","POINT(-71.01 -36.29)",,,"158"
"Bliznets",,"Kamchatka","Stratovolcano","56.97","159.78","1244","POINT(159.78 56.97)",,,"159"
"Bliznetsy",,"Kamchatka","Lava cone","57.35","161.37","265","POINT(161.37 57.35)",,,"160"
"Blue Lake Crater",,"US-Oregon","Maar","44.41","-121.77","1230","POINT(-121.77 44.41)",,,"161"
"Blup Blup",,"New Guinea-NE of","Stratovolcano","-3.51","144.61","402","POINT(144.61 -3.51)",,,"162"
"Bobrof",,"Aleutian Is","Stratovolcano","51.91","-177.44","738","POINT(-177.44 51.91)",,,"163"
"Bogatyr Ridge",,"Kuril Is","Stratovolcano","44.83","147.34","1634","POINT(147.34 44.83)",,,"164"
"Bogoslof",,"Aleutian Is","Submarine volcano","53.93","-168.03","150","POINT(-168.03 53.93)",,,"165"
"Boisa",,"New Guinea-NE of","Stratovolcano","-3.99","144.96","240","POINT(144.96 -3.99)",,,"166"
"Bola",,"New Britain-SW Pac","Stratovolcano","-5.15","150.03","1155","POINT(150.03 -5.15)",,,"167"
"Bolshe-Bannaya",,"Kamchatka","Lava domes","52.9","157.78","1200","POINT(157.78 52.9)",,,"168"
"Bolshoi Payalpan",,"Kamchatka","Shield volcanoes","55.88","157.78","1906","POINT(157.78 55.88)",,,"169"
"Bolshoi Semiachik",,"Kamchatka","Stratovolcanoes","54.32","160.02","1720","POINT(160.02 54.32)",,,"170"
"Bolshoi-Kekuknaysky",,"Kamchatka","Shield volcanoes","56.47","157.8","1401","POINT(157.8 56.47)",,,"171"
"Bombalai",,"Borneo","Pyroclastic cone","4.4","117.88","531","POINT(117.88 4.4)",,,"172"
"Boomerang Seamount",,"Indian O.-S","Submarine volcano","-37.72","77.83","-650","POINT(77.83 -37.72)",,,"173"
"Bora-Bericcio",,"Ethiopia","Pumice cones","8.27","39.03","2285","POINT(39.03 8.27)",,,"174"
"Borale Ale",,"Ethiopia","Stratovolcano","13.73","40.6","668","POINT(40.6 13.73)",,,"175"
"Borawli",,"Ethiopia","Stratovolcano","13.3","40.98","812","POINT(40.98 13.3)",,,"176"
"Borawli",,"Ethiopia","Lava domes","11.63","41.45","875","POINT(41.45 11.63)",,,"177"
"Boset-Bericha",,"Ethiopia","Stratovolcanoes","8.56","39.48","2447","POINT(39.48 8.56)",,,"178"
"Bouvet",,"Atlantic-S","Shield volcano","-54.42","3.35","780","POINT(3.35 -54.42)",,,"179"
"Bratan",,"Lesser Sunda Is","Caldera","-8.28","115.13","2276","POINT(115.13 -8.28)",,,"180"
"Brava",,"Cape Verde Is","Stratovolcano","14.85","-24.72","900","POINT(-24.72 14.85)",,,"181"
"Bravo, Cerro",,"Colombia","Stratovolcano","5.09","-75.3","4000","POINT(-75.3 5.09)",,,"182"
"Brennisteinsfjöll",,"Iceland-SW","Crater rows","63.92","-21.83","626","POINT(-21.83 63.92)",,,"183"
"Bridge River Cones",,"Canada","Volcanic field","50.8","-123.4","2500","POINT(-123.4 50.8)",,,"184"
"Bridgeman Island",,"Antarctica","Stratovolcano","-62.05","-56.75","240","POINT(-56.75 -62.05)",,,"185"
"Bristol Island",,"Antarctica","Stratovolcano","-59.03","-26.58","1100","POINT(-26.58 -59.03)",,,"186"
"Brothers",,"New Zealand","Submarine volcano","-34.88","179.08","-1350","POINT(179.08 -34.88)",,,"187"
"Brushy Butte",,"US-California","Shield volcano","41.18","-121.44","1174","POINT(-121.44 41.18)",,,"188"
"Buckle Island",,"Antarctica","Stratovolcano","-66.78","163.25","1239","POINT(163.25 -66.78)",,,"189"
"Bufumbira",,"Africa-C","Cinder cones","-1.23","29.72","2440","POINT(29.72 -1.23)",,,"190"
"Buldir",,"Aleutian Is","Stratovolcano","52.35","175.91","656","POINT(175.91 52.35)",,,"191"
"Bulusan",,"Luzon-Philippines","Stratovolcanoes","12.77","124.05","1565","POINT(124.05 12.77)",,,"192"
"Bunyaruguru Field",,"Africa-C","Maars","-0.2","30.08","1554","POINT(30.08 -0.2)",,,"193"
"Burney, Monte",,"Chile-S","Stratovolcano","-52.33","-73.4","1758","POINT(-73.4 -52.33)",,,"194"
"Bus-Obo",,"Mongolia","Cinder cone","47.12","109.08","1162","POINT(109.08 47.12)",,,"195"
"Butajiri-Silti Field",,"Ethiopia","Fissure vents","8.05","38.35","2281","POINT(38.35 8.05)",,,"196"
"Buzzard Creek",,"Alaska-E","Tuff rings","64.07","-148.42","830","POINT(-148.42 64.07)",,,"197"
"Cabalían",,"Philippines-C","Stratovolcano","10.29","125.22","945","POINT(125.22 10.29)",,,"198"
"Caburgua-Huelemolle",,"Chile-C","Cinder cones","-39.25","-71.7","1496","POINT(-71.7 -39.25)",,,"199"
"Cagua",,"Luzon-Philippines","Stratovolcano","18.22","122.12","1133","POINT(122.12 18.22)",,,"200"
"Caichinque",,"Chile-N","Stratovolcanoes","-23.95","-67.73","4450","POINT(-67.73 -23.95)",,,"201"
"Calabozos",,"Chile-C","Caldera","-35.56","-70.5","3508","POINT(-70.5 -35.56)",,,"202"
"Calatrava Volc Field",,"Spain","Pyroclastic cones","38.87","-4.02","1117","POINT(-4.02 38.87)",,,"203"
"Calbuco",,"Chile-S","Stratovolcano","-41.33","-72.61","2003","POINT(-72.61 -41.33)",,,"204"
"Callaqui",,"Chile-C","Stratovolcano","-37.92","-71.45","3164","POINT(-71.45 -37.92)",,,"205"
"Cameroon",,"Africa-W","Stratovolcano","4.2","9.17","4095","POINT(9.17 4.2)",,,"206"
"Camiguin",,"Mindanao-Philippines","Stratovolcanoes","9.2","124.67","1552","POINT(124.67 9.2)",,,"207"
"Camiguin de Babuyanes",,"Luzon-N of","Stratovolcano","18.83","121.86","712","POINT(121.86 18.83)",,,"208"
"Campi Flegrei",,"Italy","Caldera","40.83","14.14","458","POINT(14.14 40.83)",,,"209"
"Campi Flegrei Mar Sicilia",,"Italy","Submarine volcanoes","37.1","12.7","-8","POINT(12.7 37.1)",,,"210"
"Candlemas Island",,"Antarctica","Stratovolcano","-57.08","-26.67","550","POINT(-26.67 -57.08)",,,"211"
"Canlaon","Kanlaon","Philippines-C","Stratovolcano","10.41","123.13","2435","POINT(123.13 10.41)",,,"212"
"Capulin Mountain",,"US-New Mexico","Cinder cones","36.4","-104.1","2494","POINT(-104.1 36.4)",,,"213"
"Carlisle",,"Aleutian Is","Stratovolcano","52.89","-170.05","1620","POINT(-170.05 52.89)",,,"214"
"Carrán-Los Venados",,"Chile-C","Pyroclastic cones","-40.35","-72.07","1114","POINT(-72.07 -40.35)",,,"215"
"Carrizozo",,"US-New Mexico","Cinder cones","33.78","-105.93","1731","POINT(-105.93 33.78)",,,"216"
"Casiri, Nevados",,"Perú","Stratovolcanoes","-17.47","-69.81","5650","POINT(-69.81 -17.47)",,,"217"
"Cay",,"Chile-S","Stratovolcano","-45.06","-72.98","2090","POINT(-72.98 -45.06)",,,"218"
"Cayambe",,"Ecuador","Compound volcano","0.03","-77.99","5790","POINT(-77.99 0.03)",,,"219"
"Cayutué-La Viguería",,"Chile-S","Pyroclastic cones","-41.25","-72.27","506","POINT(-72.27 -41.25)",,,"220"
"Ceboruco",,"México","Stratovolcano","21.13","-104.51","2280","POINT(-104.51 21.13)",,,"221"
"Cendres, Ile des",,"SE Asia","Submarine volcanoes","10.16","109.01","-20","POINT(109.01 10.16)",,,"222"
"Central Island",,"Africa-E","Tuff cones","3.5","36.04","550","POINT(36.04 3.5)",,,"223"
"Cereme",,"Java","Stratovolcano","-6.89","108.4","3078","POINT(108.4 -6.89)",,,"224"
"Chacana",,"Ecuador","Caldera","-0.38","-78.25","4643","POINT(-78.25 -0.38)",,,"225"
"Chachani, Nevado",,"Perú","Stratovolcano","-16.19","-71.53","6057","POINT(-71.53 -16.19)",,,"226"
"Chagulak",,"Aleutian Is","Stratovolcano","52.58","-171.13","1142","POINT(-171.13 52.58)",,,"227"
"Chaîne des Puys",,"France","Cinder cones","45.78","2.97","1464","POINT(2.97 45.78)",,,"228"
"Chaitén",,"Chile-S","Caldera","-42.83","-72.65","1122","POINT(-72.65 -42.83)",,,"229"
"Changbaishan",,"China-E","Stratovolcano","41.98","128.08","2744","POINT(128.08 41.98)",,,"230"
"Cherny",,"Kamchatka","Stratovolcano","56.82","159.67","1778","POINT(159.67 56.82)",,,"231"
"Cherpuk Group",,"Kamchatka","Pyroclastic cones","55.55","157.47","1868","POINT(157.47 55.55)",,,"232"
"Chichinautzin",,"México","Volcanic field","19.08","-99.13","3930","POINT(-99.13 19.08)",,,"233"
"Chichón, El",,"México","Lava domes","17.36","-93.23","1150","POINT(-93.23 17.36)",,,"234"
"Chiginagak",,"Alaska Peninsula","Stratovolcano","57.14","-156.99","2221","POINT(-156.99 57.14)",,,"235"
"Chikurachki",,"Kuril Is","Stratovolcanoes","50.33","155.46","1816","POINT(155.46 50.33)",,,"236"
"Chiliques",,"Chile-N","Stratovolcano","-23.58","-67.7","5778","POINT(-67.7 -23.58)",,,"237"
"Chillán, Nevados de",,"Chile-C","Stratovolcano","-36.86","-71.38","3212","POINT(-71.38 -36.86)",,,"238"
"Chimborazo",,"Ecuador","Stratovolcano","-1.46","-78.82","6310","POINT(-78.82 -1.46)",,,"239"
"Chinameca",,"El Salvador","Stratovolcano","13.48","-88.33","1300","POINT(-88.33 13.48)",,,"240"
"Chingo",,"Guatemala","Stratovolcano","14.12","-89.73","1775","POINT(-89.73 14.12)",,,"241"
"Chiquimula Volc Field",,"Guatemala","Cinder cones","14.83","-89.55","1192","POINT(-89.55 14.83)",,,"242"
"Chiracha",,"Ethiopia","Stratovolcano","6.65","38.12","1650","POINT(38.12 6.65)",,,"243"
"Chirinkotan",,"Kuril Is","Stratovolcano","48.98","153.48","724","POINT(153.48 48.98)",,,"244"
"Chirip",,"Kuril Is","Stratovolcanoes","45.34","147.93","1587","POINT(147.93 45.34)",,,"245"
